,name,positive,negative,positive_percent,negative_percent,total_calls,term_frequency,idf
50,accept,654,561,0.538271605,0.461728395,1215,0.0243,4.5943168110000006
51,access,156,104,0.6,0.4,260,0.0052,6.213996217999999
52,accid,294,261,0.52972973,0.47027027,555,0.0111,5.404701325
53,accident,235,229,0.506465517,0.49353448299999997,464,0.00928,5.639781631
54,accompani,246,177,0.581560284,0.418439716,423,0.008459999999999999,5.742156041
55,accomplish,279,183,0.6038961039999999,0.396103896,462,0.00924,5.64185417
56,accord,243,293,0.453358209,0.546641791,536,0.01072,5.488296434
57,account,258,241,0.517034068,0.48296593200000004,499,0.00998,5.524532282999999
58,accur,363,245,0.597039474,0.40296052600000004,608,0.012159999999999999,5.315510111
59,accus,183,138,0.570093458,0.429906542,321,0.00642,5.92539545
60,achiev,563,334,0.627647715,0.372352285,897,0.01794,4.934288614
62,act bad,42,416,0.09170305699999999,0.908296943,458,0.00916,5.67561265
63,act good,216,154,0.583783784,0.416216216,370,0.0074,5.882262079
64,act like,168,348,0.325581395,0.674418605,516,0.010320000000000001,5.513522997000001
65,act movi,107,145,0.424603175,0.575396825,252,0.00504,6.27462084
67,action film,138,138,0.5,0.5,276,0.005520000000000001,6.048357161
68,action movi,176,225,0.438902743,0.561097257,401,0.008020000000000001,5.658590962999999
69,action scene,159,231,0.40769230799999995,0.592307692,390,0.0078,5.74675375
70,action sequenc,117,170,0.407665505,0.592334495,287,0.0057399999999999994,6.067225645
71,activ,251,186,0.574370709,0.425629291,437,0.008740000000000001,5.660702896
73,actor play,226,222,0.504464286,0.49553571399999996,448,0.00896,5.65648348
76,ad,694,720,0.490806223,0.509193777,1414,0.02828,4.49728785
77,adam,200,173,0.536193029,0.463806971,373,0.00746,5.597222016
78,adapt,573,427,0.573,0.42700000000000005,1000,0.02,4.70340414
79,add,1058,982,0.518627451,0.481372549,2040,0.0408,4.123131203
80,addict,190,147,0.56379822,0.43620178,337,0.00674,5.789113024
81,addit,476,374,0.56,0.44,850,0.017,5.028576821000001
82,address,177,122,0.591973244,0.408026756,299,0.00598,6.032900903
83,adequ,116,143,0.447876448,0.5521235520000001,259,0.00518,6.236301975
84,admir,444,284,0.60989011,0.39010989,728,0.01456,5.146500316
85,admit,633,622,0.50438247,0.49561753,1255,0.0251,4.629876113
86,admittedli,109,139,0.439516129,0.560483871,248,0.00496,6.294345345
87,adopt,139,96,0.591489362,0.408510638,235,0.0047,6.210326489
88,ador,277,134,0.6739659370000001,0.326034063,411,0.00822,5.758341365
89,adult,690,457,0.601569311,0.398430689,1147,0.022940000000000002,4.619373391
90,advanc,250,212,0.541125541,0.458874459,462,0.00924,5.637713377000001
91,advantag,172,125,0.579124579,0.420875421,297,0.00594,6.0800053720000005
92,adventur,636,370,0.632206759,0.367793241,1006,0.02012,4.73389682
93,advertis,149,212,0.412742382,0.587257618,361,0.00722,5.856218941
94,advic,159,315,0.335443038,0.664556962,474,0.00948,5.611208258
95,advis,151,220,0.407008086,0.592991914,371,0.00742,5.86655495
96,affair,366,330,0.525862069,0.474137931,696,0.013919999999999998,5.155389264
97,affect,519,228,0.694779116,0.30522088399999997,747,0.01494,5.142714823
98,afford,114,123,0.481012658,0.5189873420000001,237,0.00474,6.290369197
99,afraid,275,287,0.489323843,0.510676157,562,0.01124,5.422868629
100,africa,123,101,0.549107143,0.45089285700000004,224,0.00448,6.170824046
101,african,184,154,0.5443786979999999,0.455621302,338,0.0067599999999999995,5.786712062
102,aft,167,179,0.48265896,0.51734104,346,0.00692,5.942062502000001
103,afternoon,169,158,0.5168195720000001,0.483180428,327,0.006540000000000001,5.993798177
104,ag,147,151,0.493288591,0.506711409,298,0.00596,6.0800053720000005
105,again,174,181,0.490140845,0.509859155,355,0.0071,5.903596222000001
107,agent,273,311,0.467465753,0.5325342470000001,584,0.01168,5.221289256
108,ago,1019,780,0.566425792,0.43357420799999996,1799,0.03598,4.263893191
109,agre,685,716,0.488936474,0.511063526,1401,0.02802,4.51730186
110,ahead,379,329,0.535310734,0.464689266,708,0.014159999999999999,5.22675375
111,ai,135,210,0.39130434799999997,0.608695652,345,0.0069,5.90900164
112,aid,234,169,0.580645161,0.419354839,403,0.00806,5.728488402000001
113,aim,192,291,0.39751552799999995,0.602484472,483,0.00966,5.5375315370000004
114,air,701,577,0.548513302,0.45148669799999996,1278,0.02556,4.532921872
115,aka,135,177,0.43269230799999997,0.567307692,312,0.00624,5.987915807
116,al,610,508,0.545617174,0.454382826,1118,0.022359999999999998,4.705028836
117,ala,122,234,0.342696629,0.657303371,356,0.0071200000000000005,5.892872258
118,alan,213,143,0.598314607,0.40168539299999995,356,0.0071200000000000005,5.751372696000001
119,albeit,189,119,0.613636364,0.386363636,308,0.0061600000000000005,6.073595094
120,albert,160,70,0.695652174,0.304347826,230,0.0046,6.12943883
121,alcohol,169,146,0.536507937,0.46349206299999995,315,0.0063,5.9505013710000005
122,alex,105,87,0.546875,0.453125,192,0.0038399999999999997,6.210326489
123,alic,115,72,0.614973262,0.385026738,187,0.00374,6.217679463
124,alien,317,375,0.458092486,0.541907514,692,0.01384,4.932245713
125,alik,152,95,0.615384615,0.384615385,247,0.00494,6.27462084
126,aliv,432,371,0.537982565,0.462017435,803,0.016059999999999998,5.046717909
127,all,579,607,0.488195616,0.511804384,1186,0.023719999999999998,4.695320022
128,allen,137,145,0.485815603,0.5141843970000001,282,0.00564,5.892872258
129,allow,845,747,0.530778894,0.469221106,1592,0.03184,4.3303862010000005
130,alright,83,222,0.272131148,0.7278688520000001,305,0.0061,5.999715354
131,also,196,202,0.492462312,0.507537688,398,0.00796,5.815911217000001
132,alter,152,128,0.542857143,0.457142857,280,0.0056,6.11601581
133,altern,228,200,0.53271028,0.46728972,428,0.00856,5.6929291
134,although,188,106,0.6394557820000001,0.36054421799999997,294,0.00588,6.112688019
135,amateur,103,303,0.25369458100000003,0.746305419,406,0.00812,5.733023557
136,amateurish,44,376,0.104761905,0.895238095,420,0.0084,5.756013076
138,amazingli,199,158,0.557422969,0.442577031,357,0.0071400000000000005,5.914436436
139,ambiti,142,94,0.601694915,0.398305085,236,0.00472,6.290369197
140,america,606,432,0.5838150289999999,0.416184971,1038,0.02076,4.7272245680000005
142,amus,506,590,0.46167883200000004,0.538321168,1096,0.02192,4.729721448
143,an,135,110,0.551020408,0.44897959200000004,245,0.0049,6.2785347389999995
144,ancient,168,170,0.49704142,0.50295858,338,0.0067599999999999995,5.869155732
145,and,990,1156,0.46132339200000005,0.538676608,2146,0.04292,4.032831282
146,and or,181,174,0.509859155,0.490140845,355,0.0071,5.914436436
147,anderson,106,83,0.560846561,0.439153439,189,0.0037799999999999995,6.228811304
148,andi,130,121,0.517928287,0.48207171299999996,251,0.00502,5.9762538670000005
149,andrew,166,102,0.619402985,0.380597015,268,0.00536,5.993798177
150,angel,334,274,0.549342105,0.450657895,608,0.012159999999999999,5.193080535
151,anger,211,147,0.589385475,0.410614525,358,0.00716,5.86655495
152,angl,316,309,0.5056,0.4944,625,0.0125,5.3021270110000005
153,angri,246,301,0.44972577700000005,0.550274223,547,0.01094,5.434603885
154,anim,767,781,0.495478036,0.5045219639999999,1548,0.03096,4.026211481
155,ann,287,209,0.578629032,0.42137096799999996,496,0.00992,5.3125205719999995
156,announc,139,122,0.53256705,0.46743295,261,0.005220000000000001,6.170824046
157,annoy,435,1369,0.24113082,0.75886918,1804,0.03608,4.1956676989999995
158,anoth,138,131,0.513011152,0.486988848,269,0.005379999999999999,6.213996217999999
159,answer,506,429,0.541176471,0.458823529,935,0.0187,4.864205676
160,anthoni,211,147,0.589385475,0.410614525,358,0.00716,5.784316852000001
161,anti,366,346,0.514044944,0.485955056,712,0.014240000000000001,5.0663603660000005
162,anticip,145,134,0.519713262,0.480286738,279,0.00558,6.153371596
163,anybodi,218,336,0.393501805,0.606498195,554,0.01108,5.448186437
164,anymor,283,307,0.479661017,0.5203389829999999,590,0.0118,5.383647916
165,anyway,256,316,0.447552448,0.5524475520000001,572,0.01144,5.436291649
166,apart,748,742,0.502013423,0.49798657700000004,1490,0.0298,4.41005633
167,appal,51,250,0.16943521600000003,0.8305647840000001,301,0.00602,6.089698501
168,appar,680,1198,0.362087327,0.637912673,1878,0.03756,4.166303375
169,appeal,586,571,0.506482282,0.493517718,1157,0.02314,4.688099773999999
171,appli,156,142,0.523489933,0.47651006700000004,298,0.00596,6.070405298
172,appreci,941,452,0.675520459,0.32447954100000004,1393,0.027860000000000003,4.4926749919999995
173,approach,509,364,0.583046964,0.416953036,873,0.01746,4.953907209
174,appropri,327,227,0.590252708,0.40974729200000004,554,0.01108,5.481204206
175,area,377,357,0.5136239779999999,0.486376022,734,0.01468,5.123999367
176,argu,188,178,0.513661202,0.48633879799999996,366,0.00732,5.835862004
177,argument,137,126,0.520912548,0.479087452,263,0.00526,6.12943883
178,arm,289,395,0.42251462,0.57748538,684,0.013680000000000001,5.159223133999999
179,armi,291,311,0.483388704,0.516611296,602,0.01204,5.21585446
180,arrest,186,141,0.568807339,0.43119266100000003,327,0.006540000000000001,5.928154072000001
181,arriv,513,345,0.5979020979999999,0.402097902,858,0.017159999999999998,4.955994893
182,arrog,133,132,0.5018867920000001,0.498113208,265,0.0053,6.188586502000001
183,art,1068,864,0.552795031,0.447204969,1932,0.03864,4.02744936
184,arthur,190,81,0.701107011,0.298892989,271,0.00542,5.92539545
185,artist,678,471,0.590078329,0.409921671,1149,0.02298,4.60529387
186,as,208,280,0.426229508,0.5737704920000001,488,0.00976,5.5583066
187,asham,61,236,0.205387205,0.794612795,297,0.00594,6.0962131820000005
188,asian,123,175,0.41275167799999996,0.587248322,298,0.00596,5.863960915
189,asid,420,447,0.484429066,0.515570934,867,0.01734,4.993253061
191,asleep,76,292,0.20652173899999998,0.793478261,368,0.007359999999999999,5.853651545
192,aspect,726,644,0.5299270070000001,0.470072993,1370,0.0274,4.513938252
193,aspir,137,110,0.55465587,0.44534413,247,0.00494,6.240068458
194,assassin,180,135,0.571428571,0.428571429,315,0.0063,5.815911217000001
195,assign,143,130,0.523809524,0.47619047600000003,273,0.0054600000000000004,6.126066145
196,assist,255,213,0.544871795,0.455128205,468,0.00936,5.556400022
197,associ,233,224,0.5098468270000001,0.490153173,457,0.00914,5.623354156
198,assum,284,434,0.395543175,0.604456825,718,0.01436,5.1617872380000005
199,assur,168,121,0.581314879,0.418685121,289,0.0057799999999999995,6.126066145
200,at,222,230,0.491150442,0.508849558,452,0.009040000000000001,5.677760879
201,atmospher,857,478,0.641947566,0.358052434,1335,0.0267,4.5159550589999995
202,atroci,32,327,0.08913649,0.91086351,359,0.00718,5.906295279
203,attach,139,169,0.451298701,0.548701299,308,0.0061600000000000005,6.035973102000001
204,attack,450,583,0.435624395,0.564375605,1033,0.020659999999999998,4.665182927
206,attend,229,179,0.56127451,0.43872549,408,0.008159999999999999,5.715005052
207,attent,910,652,0.5825864279999999,0.417413572,1562,0.031239999999999997,4.39622984
208,attitud,332,216,0.605839416,0.394160584,548,0.01096,5.412918297999999
209,attract,574,600,0.488926746,0.511073254,1174,0.02348,4.648909806
211,aunt,124,76,0.62,0.38,200,0.004,6.282464017000001
212,australian,128,99,0.563876652,0.43612334799999997,227,0.00454,5.990852667
213,authent,251,129,0.660526316,0.339473684,380,0.0076,5.813445125
214,author,429,313,0.578167116,0.42183288399999996,742,0.01484,5.106842084
215,avail,521,270,0.658659924,0.341340076,791,0.015819999999999997,5.076917648
216,averag,499,669,0.427226027,0.572773973,1168,0.02336,4.663621647
217,avoid,404,1276,0.24047619,0.75952381,1680,0.0336,4.329268882
219,awar,344,227,0.602451839,0.397548161,571,0.01142,5.42120335
220,award,596,355,0.626708728,0.373291272,951,0.01902,4.815824147
222,awesom,553,223,0.712628866,0.287371134,776,0.015519999999999999,5.05360657
223,awkward,223,268,0.45417515299999994,0.545824847,491,0.00982,5.583428694
224,babi,408,394,0.50872818,0.49127182,802,0.016040000000000002,4.905067391
225,back,303,298,0.504159734,0.49584026600000003,601,0.01202,5.345907588
226,backdrop,175,105,0.625,0.375,280,0.0056,6.139625675
227,background,672,556,0.54723127,0.45276873,1228,0.02456,4.6328972639999995
229,bad act,53,617,0.07910447799999999,0.920895522,670,0.0134,5.260183047
230,bad bad,19,178,0.096446701,0.903553299,197,0.00394,6.27462084
231,bad film,79,453,0.148496241,0.8515037590000001,532,0.01064,5.448186437
232,bad good,51,253,0.167763158,0.832236842,304,0.0060799999999999995,6.086457007000001
233,bad guy,343,491,0.411270983,0.588729017,834,0.01668,4.915047513999999
234,bad movi,141,963,0.12771739099999999,0.8722826090000001,1104,0.022080000000000002,4.692104585
235,bad thing,160,157,0.504731861,0.495268139,317,0.00634,6.011655794
236,badli,184,800,0.18699187,0.81300813,984,0.01968,4.824032128
237,bag,138,215,0.390934844,0.609065156,353,0.0070599999999999994,5.8875530970000005
238,balanc,323,129,0.71460177,0.28539823,452,0.009040000000000001,5.65648348
239,ball,233,238,0.494692144,0.505307856,471,0.00942,5.51901249
240,band,348,241,0.590831919,0.409168081,589,0.01178,5.133937337
241,bank,175,165,0.514705882,0.485294118,340,0.0068,5.74675375
242,bar,337,372,0.475317348,0.5246826520000001,709,0.014180000000000002,5.130199015
243,barbara,219,91,0.7064516129999999,0.29354838699999997,310,0.0062,5.876998909
244,bare,358,739,0.326344576,0.6736554240000001,1097,0.02194,4.755894323
245,barri,111,88,0.557788945,0.442211055,199,0.00398,6.255277877
247,basi,148,162,0.477419355,0.522580645,310,0.0062,6.070405298
248,basic,889,1310,0.40427467,0.59572533,2199,0.04398,4.013101912
249,bat,86,130,0.398148148,0.601851852,216,0.00432,6.240068458
250,bath,119,124,0.48971193399999996,0.510288066,243,0.00486,6.213996217999999
251,batman,80,81,0.49689441,0.50310559,161,0.00322,6.225086905
252,battl,537,421,0.560542797,0.43945720299999996,958,0.01916,4.73306035
253,bbc,153,91,0.62704918,0.37295082,244,0.00488,6.039054768
254,be,285,244,0.538752363,0.46124763700000004,529,0.010579999999999999,5.47943898
255,beach,174,195,0.471544715,0.528455285,369,0.007379999999999999,5.758341365
256,bear,287,305,0.484797297,0.5152027029999999,592,0.01184,5.311029147
257,beast,94,130,0.41964285700000004,0.580357143,224,0.00448,6.195780778
258,beat,502,492,0.505030181,0.494969819,994,0.019880000000000002,4.814916294
260,beauti film,229,37,0.8609022559999999,0.139097744,266,0.00532,6.210326489
261,bed,291,377,0.435628743,0.564371257,668,0.013359999999999999,5.191756908
262,beer,95,179,0.346715328,0.6532846720000001,274,0.00548,6.099486507999999
263,beg,124,179,0.409240924,0.590759076,303,0.00606,6.064056071
264,began,283,258,0.52310536,0.47689464,541,0.01082,5.451611098
266,begin end,251,161,0.609223301,0.390776699,412,0.00824,5.772426105
267,behav,103,176,0.369175627,0.6308243729999999,279,0.00558,6.086457007000001
268,behavior,256,231,0.5256673510000001,0.474332649,487,0.00974,5.53380019
269,belief,229,250,0.478079332,0.5219206679999999,479,0.00958,5.577575019
271,bell,129,122,0.513944223,0.486055777,251,0.00502,6.092950537
272,belong,270,279,0.491803279,0.508196721,549,0.01098,5.470659293
273,belov,181,120,0.6013289039999999,0.398671096,301,0.00602,6.06089651
274,ben,260,206,0.557939914,0.442060086,466,0.00932,5.3724924220000005
275,benefit,199,158,0.557422969,0.442577031,357,0.0071400000000000005,5.917164951
277,best film,457,123,0.7879310340000001,0.21206896600000003,580,0.0116,5.416224086000001
278,best friend,257,161,0.614832536,0.38516746399999996,418,0.00836,5.6842333929999995
279,best movi,413,160,0.720767888,0.279232112,573,0.01146,5.42620753
280,best perform,253,77,0.7666666670000001,0.233333333,330,0.0066,5.984987547
281,best thing,153,194,0.44092219,0.55907781,347,0.006940000000000001,5.939265298
282,bet,163,242,0.402469136,0.597530864,405,0.0081,5.721724002
283,betray,186,130,0.588607595,0.411392405,316,0.00632,5.970473504
285,better film,170,266,0.38990825700000004,0.610091743,436,0.00872,5.723973722
286,better movi,138,294,0.319444444,0.680555556,432,0.00864,5.726228514
287,bi,116,148,0.439393939,0.560606061,264,0.00528,6.210326489
289,big budget,139,111,0.556,0.444,250,0.005,6.255277877
290,big fan,161,220,0.42257217799999996,0.577427822,381,0.00762,5.840912519
291,big screen,258,164,0.611374408,0.388625592,422,0.008440000000000001,5.721724002
292,bigger,231,244,0.486315789,0.5136842110000001,475,0.0095,5.5912872810000005
293,biggest,354,537,0.39730639700000003,0.602693603,891,0.01782,4.9654437819999995
294,bill,122,171,0.416382253,0.583617747,293,0.00586,6.092950537
295,billi,282,161,0.636568849,0.363431151,443,0.00886,5.47591785
296,bird,154,130,0.542253521,0.457746479,284,0.005679999999999999,5.964726362
297,birth,170,115,0.596491228,0.403508772,285,0.0057,6.023740533
299,bite,123,174,0.414141414,0.5858585860000001,297,0.00594,6.029838112999999
300,bitter,201,116,0.634069401,0.36593059899999997,317,0.00634,6.02070563
301,bizarr,378,455,0.45378151299999997,0.546218487,833,0.016659999999999998,4.993253061
303,black white,359,188,0.65630713,0.34369287,547,0.01094,5.432918965
304,blame,219,462,0.321585903,0.678414097,681,0.013619999999999998,5.218568165
305,bland,92,403,0.18585858600000002,0.8141414140000001,495,0.0099,5.535664122999999
306,blast,137,100,0.5780590720000001,0.421940928,237,0.00474,6.294345345
307,blend,255,99,0.720338983,0.279661017,354,0.0070799999999999995,5.895542487
308,blind,218,225,0.492099323,0.5079006770000001,443,0.00886,5.569823042
309,block,146,147,0.498293515,0.501706485,293,0.00586,6.0800053720000005
310,blockbust,172,224,0.434343434,0.565656566,396,0.00792,5.796350691000001
311,blond,205,300,0.405940594,0.5940594060000001,505,0.0101,5.458495807
312,blood,616,878,0.41231593,0.58768407,1494,0.02988,4.30718074
313,bloodi,219,303,0.41954023,0.58045977,522,0.010440000000000001,5.4619560179999995
314,blow,367,434,0.45817727799999997,0.541822722,801,0.01602,5.055913376
315,blown,199,163,0.549723757,0.45027624299999996,362,0.007240000000000001,5.906295279
316,blue,422,341,0.5530799479999999,0.446920052,763,0.01526,4.99978192
317,board,302,306,0.49671052600000004,0.503289474,608,0.012159999999999999,5.300650996
318,boat,170,223,0.432569975,0.567430025,393,0.007859999999999999,5.605190186000001
319,bob,195,207,0.48507462700000004,0.514925373,402,0.00804,5.66706559
320,bodi,737,894,0.451870018,0.5481299820000001,1631,0.032619999999999996,4.264939763
321,bomb,240,316,0.431654676,0.568345324,556,0.01112,5.32907475
322,bond,338,142,0.7041666670000001,0.29583333300000003,480,0.0096,5.424536686000001
323,bone,148,161,0.47896440100000004,0.521035599,309,0.00618,5.984987547
325,boot,136,137,0.49816849799999996,0.501831502,273,0.0054600000000000004,6.106065479
326,border,160,123,0.565371025,0.434628975,283,0.00566,6.073595094
328,boredom,43,236,0.154121864,0.845878136,279,0.00558,6.163806472999999
329,born,394,245,0.6165884189999999,0.383411581,639,0.01278,5.263019928
330,borrow,178,193,0.47978436700000004,0.520215633,371,0.00742,5.840912519
331,bos,320,216,0.597014925,0.402985075,536,0.01072,5.345907588
332,bother,285,962,0.228548516,0.7714514840000001,1247,0.02494,4.62912225
333,bought,389,427,0.476715686,0.523284314,816,0.016319999999999998,5.060543013999999
334,bound,212,133,0.614492754,0.385507246,345,0.0069,5.917164951
335,box,542,664,0.44941956899999996,0.550580431,1206,0.02412,4.579865693
336,box offic,220,168,0.5670103089999999,0.432989691,388,0.0077599999999999995,5.806083127999999
338,boyfriend,311,334,0.48217054299999995,0.517829457,645,0.0129,5.191756908
339,brain,354,598,0.371848739,0.628151261,952,0.01904,4.826783161
340,brand,141,130,0.520295203,0.479704797,271,0.00542,6.177891213
341,brave,193,133,0.59202454,0.40797546,326,0.006520000000000001,5.953330227
342,break,895,837,0.516743649,0.48325635100000003,1732,0.03464,4.263893191
343,breast,79,206,0.277192982,0.722807018,285,0.0057,6.0452467389999995
344,breath,313,221,0.586142322,0.41385767799999995,534,0.01068,5.4918615
345,breathtak,233,43,0.844202899,0.155797101,276,0.005520000000000001,6.167309104
346,brian,250,151,0.623441397,0.376558603,401,0.008020000000000001,5.66494019
347,bridg,185,132,0.583596215,0.416403785,317,0.00634,5.882262079
348,brief,379,334,0.531556802,0.46844319799999995,713,0.01426,5.190435031
349,briefli,130,130,0.5,0.5,260,0.0052,6.217679463
350,bright,223,282,0.44158415799999995,0.558415842,505,0.0101,5.545036262999999
351,brilliant,1356,463,0.7454645409999999,0.25453545899999996,1819,0.03638,4.183046172
352,brilliantli,350,68,0.837320574,0.162679426,418,0.00836,5.739865088999999
354,british,583,406,0.589484328,0.41051567200000005,989,0.019780000000000002,4.6519891
355,broadcast,149,102,0.593625498,0.406374502,251,0.00502,6.156837803999999
356,broadway,145,74,0.662100457,0.33789954299999997,219,0.004379999999999999,6.1362185170000005
357,broke,141,119,0.5423076920000001,0.457692308,260,0.0052,6.228811304
358,broken,238,215,0.5253863129999999,0.474613687,453,0.009059999999999999,5.631534161
359,brook,131,89,0.595454545,0.404545455,220,0.0044,6.070405298
360,brother,955,792,0.5466514020000001,0.453348598,1747,0.03494,4.099780344
361,brought,807,474,0.629976581,0.37002341899999996,1281,0.02562,4.598693186
362,brown,214,154,0.581521739,0.418478261,368,0.007359999999999999,5.64601218
363,bruce,199,143,0.581871345,0.418128655,342,0.006840000000000001,5.637713377000001
364,brutal,455,269,0.6284530389999999,0.371546961,724,0.014480000000000002,5.1141591889999996
365,bu,96,119,0.446511628,0.553488372,215,0.0043,6.217679463
366,buck,162,279,0.367346939,0.632653061,441,0.00882,5.627435795
367,buddi,217,252,0.46268656700000005,0.537313433,469,0.00938,5.470659293
369,budget film,107,172,0.383512545,0.616487455,279,0.00558,6.1328229279999995
370,budget movi,92,162,0.362204724,0.637795276,254,0.0050799999999999994,6.236301975
371,buff,203,149,0.576704545,0.423295455,352,0.00704,5.906295279
372,bug,78,144,0.35135135100000003,0.648648649,222,0.0044399999999999995,6.0832259870000005
373,build,688,699,0.496034607,0.503965393,1387,0.027739999999999997,4.443916136
374,built,209,193,0.5199004979999999,0.480099502,402,0.00804,5.7444522529999995
375,bullet,124,206,0.37575757600000004,0.624242424,330,0.0066,5.898219865
376,bunch,417,912,0.313769752,0.686230248,1329,0.02658,4.537037105
377,buri,132,170,0.43708609299999995,0.562913907,302,0.00604,6.039054768
378,burn,295,442,0.40027137,0.59972863,737,0.014740000000000001,5.076917648
379,busi,634,553,0.534119629,0.465880371,1187,0.02374,4.634411269
380,but,771,841,0.478287841,0.521712159,1612,0.03224,4.356435239
381,butt,117,174,0.402061856,0.597938144,291,0.0058200000000000005,6.106065479
382,button,95,162,0.369649805,0.630350195,257,0.00514,6.153371596
383,buy,829,831,0.49939759,0.50060241,1660,0.0332,4.313206504
385,ca believ,111,351,0.24025974,0.75974026,462,0.00924,5.650187552
386,ca help,211,176,0.545219638,0.45478036200000005,387,0.00774,5.815911217000001
387,ca say,125,157,0.443262411,0.556737589,282,0.00564,6.139625675
388,cabl,214,243,0.468271335,0.531728665,457,0.00914,5.629482877999999
389,cage,127,93,0.577272727,0.42272727299999996,220,0.0044,6.070405298
390,cal,117,212,0.35562309999999997,0.6443769,329,0.00658,5.96186513
391,california,187,140,0.571865443,0.428134557,327,0.006540000000000001,5.9505013710000005
394,cameo,356,287,0.553654743,0.44634525700000005,643,0.01286,5.280212328999999
396,camera work,270,374,0.41925465799999995,0.580745342,644,0.01288,5.283106687
397,camp,290,382,0.431547619,0.5684523810000001,672,0.01344,5.095965843
398,campi,115,196,0.36977492,0.63022508,311,0.006220000000000001,5.987915807
399,canadian,129,123,0.511904762,0.488095238,252,0.00504,6.014663315
400,cancel,122,110,0.525862069,0.474137931,232,0.00464,6.243849181
401,candi,137,214,0.39031339,0.60968661,351,0.00702,5.80120507
402,capabl,248,259,0.489151874,0.5108481260000001,507,0.01014,5.5583066
403,capit,112,126,0.470588235,0.529411765,238,0.00476,6.255277877
404,captain,238,171,0.58190709,0.41809291,409,0.00818,5.550702001
405,captiv,308,113,0.7315914490000001,0.268408551,421,0.00842,5.723973722
406,captur,893,439,0.67042042,0.32957958,1332,0.026639999999999997,4.508579900000001
407,car,772,883,0.466465257,0.5335347429999999,1655,0.0331,4.163934267
408,card,175,187,0.483425414,0.5165745860000001,362,0.007240000000000001,5.798774935
