,positive,negative,positive_percent,negative_percent,total_calls,term_frequency,idf
20 minut,97.0,267.0,0.2664835164835165,0.7335164835164836,364.0,0.00728,5.856218940591839
20 year,214.0,150.0,0.5879120879120879,0.41208791208791207,364.0,0.00728,5.876998909083585
2000,143.0,115.0,0.5542635658914729,0.44573643410852715,258.0,0.00516,6.192177170519649
2001,163.0,115.0,0.5863309352517986,0.4136690647482014,278.0,0.00556,6.057746901430109
2005,169.0,94.0,0.6425855513307985,0.35741444866920147,263.0,0.00526,6.163806473390434
2006,136.0,87.0,0.6098654708520179,0.3901345291479821,223.0,0.00446,6.294345345078502
25,188.0,177.0,0.5150684931506849,0.4849315068493151,365.0,0.0073,5.866554949922501
30,480.0,682.0,0.41308089500860584,0.5869191049913942,1162.0,0.02324,4.695320021716862
30 minut,66.0,239.0,0.21639344262295082,0.7836065573770492,305.0,0.0061,6.051477288416514
40,351.0,353.0,0.49857954545454547,0.5014204545454546,704.0,0.01408,5.183851728523639
45,75.0,179.0,0.2952755905511811,0.704724409448819,254.0,0.00508,6.2288113036994295
50,442.0,472.0,0.48358862144420134,0.5164113785557987,914.0,0.01828,4.885401074281727
60,372.0,347.0,0.5173852573018081,0.48261474269819193,719.0,0.01438,5.136437338444011
70,526.0,468.0,0.5291750503018109,0.4708249496981891,994.0,0.01988,4.767077234977963
80,578.0,676.0,0.4609250398724083,0.5390749601275917,1254.0,0.02508,4.497287850212892
90,375.0,662.0,0.36162005785920925,0.6383799421407907,1037.0,0.02074,4.796930198127644
90 minut,90.0,298.0,0.23195876288659795,0.768041237113402,388.0,0.00776,5.791519763979587
abandon,243.0,241.0,0.5020661157024794,0.4979338842975206,484.0,0.00968,5.569823041950802
abil,504.0,440.0,0.5338983050847458,0.4661016949152542,944.0,0.01888,4.887350392637777
abl,1153.0,972.0,0.5425882352941176,0.4574117647058824,2125.0,0.0425,4.058905088359262
absolut,1327.0,1724.0,0.43493936414290396,0.565060635857096,3051.0,0.06102,3.7042774026635166
absorb,181.0,83.0,0.6856060606060606,0.31439393939393945,264.0,0.00528,6.188586502388921
absurd,193.0,390.0,0.33104631217838765,0.6689536878216124,583.0,0.01166,5.355209980520325
abus,275.0,256.0,0.5178907721280602,0.48210922787193977,531.0,0.01062,5.370908890063428
academi,300.0,149.0,0.6681514476614699,0.33184855233853006,449.0,0.00898,5.597222016138917
academi award,225.0,74.0,0.7525083612040134,0.24749163879598657,299.0,0.00598,6.0452467386658775
accent,353.0,600.0,0.3704092339979014,0.6295907660020986,953.0,0.01906,4.794259969571765
accept,654.0,561.0,0.5382716049382716,0.46172839506172836,1215.0,0.0243,4.594316811427991
access,156.0,104.0,0.6,0.4,260.0,0.0052,6.213996217914288
accid,294.0,261.0,0.5297297297297298,0.47027027027027024,555.0,0.0111,5.40470132503869
accident,235.0,229.0,0.5064655172413793,0.49353448275862066,464.0,0.00928,5.639781630557713
accompani,246.0,177.0,0.5815602836879432,0.4184397163120568,423.0,0.00846,5.742156040861252
accomplish,279.0,183.0,0.6038961038961039,0.39610389610389607,462.0,0.00924,5.641854170159686
accord,243.0,293.0,0.4533582089552239,0.5466417910447761,536.0,0.01072,5.488296434316594
account,258.0,241.0,0.5170340681362725,0.4829659318637275,499.0,0.00998,5.52453228277064
accur,363.0,245.0,0.5970394736842105,0.4029605263157895,608.0,0.01216,5.31551011067364
accus,183.0,138.0,0.5700934579439252,0.4299065420560748,321.0,0.00642,5.925395449945435
achiev,563.0,334.0,0.6276477146042363,0.3723522853957637,897.0,0.01794,4.934288614175468
act bad,42.0,416.0,0.09170305676855896,0.9082969432314411,458.0,0.00916,5.6756126500846396
act good,216.0,154.0,0.5837837837837838,0.4162162162162162,370.0,0.0074,5.88226207912786
act like,168.0,348.0,0.32558139534883723,0.6744186046511628,516.0,0.01032,5.51352299726227
act movi,107.0,145.0,0.4246031746031746,0.5753968253968254,252.0,0.00504,6.274620839730724
action,1856.0,1811.0,0.5061358058358331,0.49386419416416694,3667.0,0.07334,3.31710977899693
action film,138.0,138.0,0.5,0.5,276.0,0.00552,6.04835716108027
action movi,176.0,225.0,0.4389027431421446,0.5610972568578554,401.0,0.00802,5.658590962515209
action scene,159.0,231.0,0.4076923076923077,0.5923076923076923,390.0,0.0078,5.746753750109881
action sequenc,117.0,170.0,0.4076655052264808,0.5923344947735192,287.0,0.00574,6.067225645384653
activ,251.0,186.0,0.5743707093821511,0.42562929061784893,437.0,0.00874,5.6607028957183525
actor play,226.0,222.0,0.5044642857142857,0.4955357142857143,448.0,0.00896,5.656483480175645
actress,1113.0,1083.0,0.5068306010928961,0.4931693989071039,2196.0,0.04392,3.9708645578462147
ad,694.0,720.0,0.4908062234794908,0.5091937765205092,1414.0,0.02828,4.497287850212892
adam,200.0,173.0,0.5361930294906166,0.46380697050938335,373.0,0.00746,5.597222016138917
adapt,573.0,427.0,0.573,0.42700000000000005,1000.0,0.02,4.70340414011682
add,1058.0,982.0,0.5186274509803922,0.4813725490196078,2040.0,0.0408,4.123131202683824
addict,190.0,147.0,0.5637982195845698,0.43620178041543023,337.0,0.00674,5.789113023949023
addit,476.0,374.0,0.56,0.43999999999999995,850.0,0.017,5.0285768214841005
address,177.0,122.0,0.5919732441471572,0.40802675585284276,299.0,0.00598,6.032900902843578
adequ,116.0,143.0,0.44787644787644787,0.5521235521235521,259.0,0.00518,6.236301975428587
admir,444.0,284.0,0.6098901098901099,0.39010989010989006,728.0,0.01456,5.146500316442632
admit,633.0,622.0,0.5043824701195219,0.49561752988047814,1255.0,0.0251,4.629876113464478
admittedli,109.0,139.0,0.43951612903225806,0.560483870967742,248.0,0.00496,6.294345345078502
adopt,139.0,96.0,0.5914893617021276,0.4085106382978724,235.0,0.0047,6.210326489025326
ador,277.0,134.0,0.6739659367396593,0.3260340632603407,411.0,0.00822,5.758341365282269
adult,690.0,457.0,0.6015693112467306,0.39843068875326937,1147.0,0.02294,4.619373391265329
advanc,250.0,212.0,0.5411255411255411,0.4588744588744589,462.0,0.00924,5.637713377493654
advantag,172.0,125.0,0.5791245791245792,0.42087542087542085,297.0,0.00594,6.080005372031051
adventur,636.0,370.0,0.6322067594433399,0.3677932405566601,1006.0,0.02012,4.7338968198446745
advertis,149.0,212.0,0.41274238227146814,0.5872576177285318,361.0,0.00722,5.856218940591839
advic,159.0,315.0,0.33544303797468356,0.6645569620253164,474.0,0.00948,5.611208258113657
advis,151.0,220.0,0.40700808625336926,0.5929919137466307,371.0,0.00742,5.866554949922501
affair,366.0,330.0,0.5258620689655172,0.47413793103448276,696.0,0.01392,5.1553892638598775
affect,519.0,228.0,0.6947791164658634,0.30522088353413657,747.0,0.01494,5.14271482296315
afford,114.0,123.0,0.4810126582278481,0.5189873417721519,237.0,0.00474,6.290369196698863
afraid,275.0,287.0,0.4893238434163701,0.51067615658363,562.0,0.01124,5.42286862899414
africa,123.0,101.0,0.5491071428571429,0.4508928571428571,224.0,0.00448,6.17082404604908
african,184.0,154.0,0.5443786982248521,0.4556213017751479,338.0,0.00676,5.7867120624114845
aft,167.0,179.0,0.48265895953757226,0.5173410404624277,346.0,0.00692,5.942062502430646
afternoon,169.0,158.0,0.5168195718654435,0.4831804281345565,327.0,0.00654,5.993798176829835
ag,147.0,151.0,0.49328859060402686,0.5067114093959731,298.0,0.00596,6.080005372031051
again,174.0,181.0,0.49014084507042255,0.5098591549295775,355.0,0.0071,5.903596221602851
age,1375.0,851.0,0.6176999101527404,0.3823000898472596,2226.0,0.04452,3.986198060549182
agent,273.0,311.0,0.4674657534246575,0.5325342465753424,584.0,0.01168,5.22128925559577
ago,1019.0,780.0,0.566425792106726,0.43357420789327406,1799.0,0.03598,4.263893190598939
agre,685.0,716.0,0.4889364739471806,0.5110635260528194,1401.0,0.02802,4.51730186048296
ahead,379.0,329.0,0.5353107344632768,0.4646892655367232,708.0,0.01416,5.226753750067849
ai,135.0,210.0,0.391304347826087,0.6086956521739131,345.0,0.0069,5.909001640169759
aid,234.0,169.0,0.5806451612903226,0.4193548387096774,403.0,0.00806,5.728488402132587
aim,192.0,291.0,0.39751552795031053,0.6024844720496895,483.0,0.00966,5.53753153731428
air,701.0,577.0,0.5485133020344288,0.45148669796557117,1278.0,0.02556,4.532921872459586
aka,135.0,177.0,0.4326923076923077,0.5673076923076923,312.0,0.00624,5.987915806926769
al,610.0,508.0,0.5456171735241503,0.4543828264758497,1118.0,0.02236,4.705028835843823
ala,122.0,234.0,0.34269662921348315,0.6573033707865168,356.0,0.00712,5.892872258239875
alan,213.0,143.0,0.598314606741573,0.401685393258427,356.0,0.00712,5.751372695966175
albeit,189.0,119.0,0.6136363636363636,0.38636363636363635,308.0,0.00616,6.073595093670132
albert,160.0,70.0,0.6956521739130435,0.30434782608695654,230.0,0.0046,6.129438829886225
alcohol,169.0,146.0,0.5365079365079365,0.4634920634920635,315.0,0.0063,5.950501371076512
alex,105.0,87.0,0.546875,0.453125,192.0,0.00384,6.210326489025326
alic,115.0,72.0,0.6149732620320856,0.3850267379679144,187.0,0.00374,6.217679463330585
alien,317.0,375.0,0.45809248554913296,0.541907514450867,692.0,0.01384,4.932245712545669
alik,152.0,95.0,0.6153846153846154,0.3846153846153846,247.0,0.00494,6.274620839730724
aliv,432.0,371.0,0.5379825653798257,0.4620174346201743,803.0,0.01606,5.046717908554751
all,579.0,607.0,0.4881956155143339,0.5118043844856661,1186.0,0.02372,4.695320021716862
allen,137.0,145.0,0.4858156028368794,0.5141843971631206,282.0,0.00564,5.892872258239875
allow,845.0,747.0,0.5307788944723618,0.4692211055276382,1592.0,0.03184,4.330386200701566
alright,83.0,222.0,0.2721311475409836,0.7278688524590164,305.0,0.0061,5.999715353857924
also,196.0,202.0,0.49246231155778897,0.507537688442211,398.0,0.00796,5.815911217103746
alter,152.0,128.0,0.5428571428571428,0.4571428571428572,280.0,0.0056,6.116015809554085
altern,228.0,200.0,0.5327102803738317,0.4672897196261683,428.0,0.00856,5.692929100096101
although,188.0,106.0,0.6394557823129252,0.3605442176870748,294.0,0.00588,6.11268801946141
amateur,103.0,303.0,0.2536945812807882,0.7463054187192117,406.0,0.00812,5.733023557297979
amateurish,44.0,376.0,0.10476190476190476,0.8952380952380953,420.0,0.0084,5.756013075522677
amaz,1605.0,625.0,0.7197309417040358,0.28026905829596416,2230.0,0.0446,3.9806666359359526
amazingli,199.0,158.0,0.5574229691876751,0.4425770308123249,357.0,0.00714,5.914436436155715
ambiti,142.0,94.0,0.6016949152542372,0.39830508474576276,236.0,0.00472,6.290369196698863
america,606.0,432.0,0.5838150289017341,0.4161849710982659,1038.0,0.02076,4.727224568235607
american,1554.0,1236.0,0.556989247311828,0.443010752688172,2790.0,0.0558,3.595366710989128
amus,506.0,590.0,0.46167883211678834,0.5383211678832116,1096.0,0.02192,4.729721448434194
an,135.0,110.0,0.5510204081632653,0.44897959183673475,245.0,0.0049,6.278534739051859
ancient,168.0,170.0,0.4970414201183432,0.5029585798816568,338.0,0.00676,5.869155731622559
and,990.0,1156.0,0.4613233923578751,0.5386766076421249,2146.0,0.04292,4.032831281595414
and or,181.0,174.0,0.5098591549295775,0.49014084507042255,355.0,0.0071,5.914436436155715
anderson,106.0,83.0,0.5608465608465608,0.4391534391534392,189.0,0.00378,6.2288113036994295
andi,130.0,121.0,0.5179282868525896,0.4820717131474104,251.0,0.00502,5.976253867178926
andrew,166.0,102.0,0.6194029850746269,0.3805970149253731,268.0,0.00536,5.993798176829835
angel,334.0,274.0,0.5493421052631579,0.45065789473684215,608.0,0.01216,5.193080534961261
anger,211.0,147.0,0.5893854748603352,0.4106145251396648,358.0,0.00716,5.866554949922501
angl,316.0,309.0,0.5056,0.49439999999999995,625.0,0.0125,5.302127011298011
angri,246.0,301.0,0.44972577696526506,0.5502742230347349,547.0,0.01094,5.43460388521256
anim,767.0,781.0,0.49547803617571057,0.5045219638242895,1548.0,0.03096,4.026211480838702
ann,287.0,209.0,0.5786290322580645,0.4213709677419355,496.0,0.00992,5.312520571825274
announc,139.0,122.0,0.5325670498084292,0.46743295019157083,261.0,0.00522,6.17082404604908
annoy,435.0,1369.0,0.24113082039911307,0.758869179600887,1804.0,0.03608,4.195667698548997
anoth,138.0,131.0,0.5130111524163569,0.48698884758364314,269.0,0.00538,6.213996217914288
answer,506.0,429.0,0.5411764705882353,0.45882352941176474,935.0,0.0187,4.864205675813988
anthoni,211.0,147.0,0.5893854748603352,0.4106145251396648,358.0,0.00716,5.78431685168553
anti,366.0,346.0,0.5140449438202247,0.4859550561797753,712.0,0.01424,5.066360365612506
anticip,145.0,134.0,0.5197132616487455,0.48028673835125446,279.0,0.00558,6.153371596097854
anybodi,218.0,336.0,0.3935018050541516,0.6064981949458483,554.0,0.01108,5.448186436978429
anymor,283.0,307.0,0.47966101694915253,0.5203389830508475,590.0,0.0118,5.383647915840858
anyway,256.0,316.0,0.44755244755244755,0.5524475524475525,572.0,0.01144,5.43629164932628
apart,748.0,742.0,0.5020134228187919,0.4979865771812081,1490.0,0.0298,4.410056330129363
appal,51.0,250.0,0.16943521594684385,0.8305647840531561,301.0,0.00602,6.089698501236711
appar,680.0,1198.0,0.362087326943557,0.6379126730564431,1878.0,0.03756,4.166303374549033
appeal,586.0,571.0,0.5064822817631807,0.49351771823681934,1157.0,0.02314,4.6880997737433745
appear,1664.0,1848.0,0.47380410022779046,0.5261958997722096,3512.0,0.07024,3.4889346709855418
appli,156.0,142.0,0.5234899328859061,0.47651006711409394,298.0,0.00596,6.070405298302032
appreci,941.0,452.0,0.6755204594400575,0.32447954055994255,1393.0,0.02786,4.492674991950993
approach,509.0,364.0,0.5830469644902635,0.4169530355097365,873.0,0.01746,4.9539072093268475
appropri,327.0,227.0,0.5902527075812274,0.4097472924187726,554.0,0.01108,5.481204206007103
area,377.0,357.0,0.5136239782016349,0.48637602179836514,734.0,0.01468,5.123999367151794
argu,188.0,178.0,0.5136612021857924,0.48633879781420764,366.0,0.00732,5.835862003523095
argument,137.0,126.0,0.5209125475285171,0.4790874524714829,263.0,0.00526,6.129438829886225
arm,289.0,395.0,0.42251461988304095,0.577485380116959,684.0,0.01368,5.1592231343706
armi,291.0,311.0,0.4833887043189369,0.5166112956810631,602.0,0.01204,5.2158544596098135
arrest,186.0,141.0,0.5688073394495413,0.4311926605504587,327.0,0.00654,5.9281540723845145
arriv,513.0,345.0,0.5979020979020979,0.4020979020979021,858.0,0.01716,4.955994892757332
arrog,133.0,132.0,0.5018867924528302,0.4981132075471698,265.0,0.0053,6.188586502388921
art,1068.0,864.0,0.5527950310559007,0.44720496894409933,1932.0,0.03864,4.027449360097249
arthur,190.0,81.0,0.7011070110701108,0.29889298892988925,271.0,0.00542,5.925395449945435
artist,678.0,471.0,0.5900783289817232,0.4099216710182768,1149.0,0.02298,4.605293870059143
as,208.0,280.0,0.4262295081967213,0.5737704918032787,488.0,0.00976,5.558306599889243
asham,61.0,236.0,0.2053872053872054,0.7946127946127945,297.0,0.00594,6.096213182257905
asian,123.0,175.0,0.412751677852349,0.587248322147651,298.0,0.00596,5.863960914745455
asid,420.0,447.0,0.4844290657439446,0.5155709342560554,867.0,0.01734,4.993253060653692
ask,1023.0,1196.0,0.46101847679134744,0.5389815232086526,2219.0,0.04438,3.9826386342086106
asleep,76.0,292.0,0.20652173913043478,0.7934782608695652,368.0,0.00736,5.853651545086594
aspect,726.0,644.0,0.5299270072992701,0.4700729927007299,1370.0,0.0274,4.513938251526277
aspir,137.0,110.0,0.5546558704453441,0.44534412955465585,247.0,0.00494,6.240068458224063
assassin,180.0,135.0,0.5714285714285714,0.4285714285714286,315.0,0.0063,5.815911217103746
assign,143.0,130.0,0.5238095238095238,0.47619047619047616,273.0,0.00546,6.126066145407586
assist,255.0,213.0,0.5448717948717948,0.4551282051282052,468.0,0.00936,5.556400021618662
associ,233.0,224.0,0.5098468271334792,0.4901531728665208,457.0,0.00914,5.623354156415765
assum,284.0,434.0,0.3955431754874652,0.6044568245125348,718.0,0.01436,5.161787238339538
assur,168.0,121.0,0.5813148788927336,0.4186851211072664,289.0,0.00578,6.126066145407586
at,222.0,230.0,0.4911504424778761,0.5088495575221239,452.0,0.00904,5.677760878622929
atmospher,857.0,478.0,0.6419475655430712,0.3580524344569288,1335.0,0.0267,4.515955058932581
atroci,32.0,327.0,0.08913649025069638,0.9108635097493036,359.0,0.00718,5.906295278572015
attach,139.0,169.0,0.4512987012987013,0.5487012987012987,308.0,0.00616,6.035973101880548
attack,450.0,583.0,0.4356243949661181,0.564375605033882,1033.0,0.02066,4.665182927296623
attempt,987.0,1839.0,0.3492569002123142,0.6507430997876857,2826.0,0.05652,3.727864828230392
attend,229.0,179.0,0.5612745098039216,0.4387254901960784,408.0,0.00816,5.715005051795301
attent,910.0,652.0,0.5825864276568502,0.4174135723431498,1562.0,0.03124,4.396229839951118
attitud,332.0,216.0,0.6058394160583942,0.3941605839416058,548.0,0.01096,5.412918298140971
attract,574.0,600.0,0.4889267461669506,0.5110732538330494,1174.0,0.02348,4.64890980569778
audienc,1694.0,1640.0,0.5080983803239352,0.4919016196760648,3334.0,0.06668,3.510613756523988
aunt,124.0,76.0,0.62,0.38,200.0,0.004,6.282464017191749
australian,128.0,99.0,0.5638766519823789,0.4361233480176211,227.0,0.00454,5.9908526666000785
authent,251.0,129.0,0.6605263157894737,0.33947368421052626,380.0,0.0076,5.8134451246085534
author,429.0,313.0,0.578167115902965,0.421832884097035,742.0,0.01484,5.106842083533216
avail,521.0,270.0,0.6586599241466498,0.34134007585335024,791.0,0.01582,5.076917648418383
averag,499.0,669.0,0.4272260273972603,0.5727739726027397,1168.0,0.02336,4.66362164672967
avoid,404.0,1276.0,0.24047619047619048,0.7595238095238095,1680.0,0.0336,4.329268882149574
aw,314.0,2292.0,0.1204911742133538,0.8795088257866462,2606.0,0.05212,3.807117354503447
awar,344.0,227.0,0.6024518388791593,0.3975481611208407,571.0,0.01142,5.421203349675078
award,596.0,355.0,0.6267087276550999,0.3732912723449001,951.0,0.01902,4.815824147487605
away,2023.0,2192.0,0.47995255041518387,0.5200474495848162,4215.0,0.0843,3.3407224149071766
awesom,553.0,223.0,0.7126288659793815,0.28737113402061853,776.0,0.01552,5.0536065695499355
awkward,223.0,268.0,0.45417515274949083,0.5458248472505092,491.0,0.00982,5.583428694006582
babi,408.0,394.0,0.5087281795511222,0.49127182044887785,802.0,0.01604,4.905067391491723
back,303.0,298.0,0.5041597337770383,0.49584026622296173,601.0,0.01202,5.345907587858011
backdrop,175.0,105.0,0.625,0.375,280.0,0.0056,6.139625675193218
background,672.0,556.0,0.5472312703583062,0.4527687296416938,1228.0,0.02456,4.632897263798654
bad act,53.0,617.0,0.0791044776119403,0.9208955223880597,670.0,0.0134,5.260183046717044
bad bad,19.0,178.0,0.09644670050761421,0.9035532994923858,197.0,0.00394,6.274620839730724
bad film,79.0,453.0,0.14849624060150377,0.8515037593984962,532.0,0.01064,5.448186436978429
bad good,51.0,253.0,0.16776315789473684,0.8322368421052632,304.0,0.00608,6.08645700731254
bad guy,343.0,491.0,0.41127098321342925,0.5887290167865707,834.0,0.01668,4.915047514248448
bad movi,141.0,963.0,0.12771739130434784,0.8722826086956521,1104.0,0.02208,4.6921045848628875
bad thing,160.0,157.0,0.5047318611987381,0.49526813880126186,317.0,0.00634,6.011655794229842
badli,184.0,800.0,0.18699186991869918,0.8130081300813008,984.0,0.01968,4.8240321279054355
bag,138.0,215.0,0.3909348441926346,0.6090651558073654,353.0,0.00706,5.887553096762275
balanc,323.0,129.0,0.7146017699115044,0.28539823008849563,452.0,0.00904,5.656483480175645
ball,233.0,238.0,0.49469214437367304,0.505307855626327,471.0,0.00942,5.519012489547042
band,348.0,241.0,0.5908319185059423,0.4091680814940577,589.0,0.01178,5.133937337141926
bank,175.0,165.0,0.5147058823529411,0.4852941176470589,340.0,0.0068,5.746753750109881
bar,337.0,372.0,0.47531734837799716,0.5246826516220029,709.0,0.01418,5.1301990150313195
barbara,219.0,91.0,0.7064516129032258,0.2935483870967742,310.0,0.0062,5.876998909083585
bare,358.0,739.0,0.3263445761166819,0.6736554238833181,1097.0,0.02194,4.755894322738218
barri,111.0,88.0,0.5577889447236181,0.44221105527638194,199.0,0.00398,6.255277876887592
base,1364.0,1143.0,0.5440765855604308,0.4559234144395692,2507.0,0.05014,3.8910319625835905
basi,148.0,162.0,0.4774193548387097,0.5225806451612903,310.0,0.0062,6.070405298302032
basic,889.0,1310.0,0.40427467030468395,0.595725329695316,2199.0,0.04398,4.013101911689107
bat,86.0,130.0,0.39814814814814814,0.6018518518518519,216.0,0.00432,6.240068458224063
bath,119.0,124.0,0.4897119341563786,0.5102880658436214,243.0,0.00486,6.213996217914288
batman,80.0,81.0,0.4968944099378882,0.5031055900621118,161.0,0.00322,6.225086904608447
battl,537.0,421.0,0.5605427974947808,0.43945720250521925,958.0,0.01916,4.733060349699709
bbc,153.0,91.0,0.6270491803278688,0.3729508196721312,244.0,0.00488,6.039054768417956
be,285.0,244.0,0.5387523629489603,0.46124763705103966,529.0,0.01058,5.479438980482533
beach,174.0,195.0,0.4715447154471545,0.5284552845528455,369.0,0.00738,5.758341365282269
bear,287.0,305.0,0.4847972972972973,0.5152027027027026,592.0,0.01184,5.311029147238604
beast,94.0,130.0,0.41964285714285715,0.5803571428571428,224.0,0.00448,6.1957807780229475
beat,502.0,492.0,0.5050301810865191,0.4949698189134809,994.0,0.01988,4.814916294497426
beauti,2781.0,1157.0,0.7061960385982733,0.2938039614017267,3938.0,0.07876,3.315082614305161
beauti film,229.0,37.0,0.8609022556390977,0.13909774436090228,266.0,0.00532,6.210326489025326
bed,291.0,377.0,0.4356287425149701,0.5643712574850299,668.0,0.01336,5.191756908030753
beer,95.0,179.0,0.3467153284671533,0.6532846715328466,274.0,0.00548,6.099486507602874
beg,124.0,179.0,0.40924092409240925,0.5907590759075907,303.0,0.00606,6.064056070623374
began,283.0,258.0,0.5231053604436229,0.4768946395563771,541.0,0.01082,5.451611097859794
begin,2099.0,2024.0,0.5090953189425176,0.4909046810574824,4123.0,0.08246,3.352846309230795
begin end,251.0,161.0,0.6092233009708737,0.39077669902912626,412.0,0.00824,5.772426105164008
behav,103.0,176.0,0.36917562724014336,0.6308243727598566,279.0,0.00558,6.08645700731254
behavior,256.0,231.0,0.5256673511293635,0.47433264887063653,487.0,0.00974,5.533800189701421
belief,229.0,250.0,0.4780793319415449,0.5219206680584552,479.0,0.00958,5.5775750187551205
bell,129.0,122.0,0.5139442231075697,0.4860557768924303,251.0,0.00502,6.092950536623088
belong,270.0,279.0,0.4918032786885246,0.5081967213114754,549.0,0.01098,5.470659292830488
belov,181.0,120.0,0.6013289036544851,0.3986710963455149,301.0,0.00602,6.060896510333005
ben,260.0,206.0,0.5579399141630901,0.4420600858369099,466.0,0.00932,5.372492421669072
benefit,199.0,158.0,0.5574229691876751,0.4425770308123249,357.0,0.00714,5.917164950808919
best film,457.0,123.0,0.7879310344827586,0.21206896551724141,580.0,0.0116,5.416224086275471
best friend,257.0,161.0,0.6148325358851675,0.3851674641148325,418.0,0.00836,5.684233393128547
best movi,413.0,160.0,0.7207678883071553,0.2792321116928447,573.0,0.01146,5.426207530259654
best perform,253.0,77.0,0.7666666666666667,0.23333333333333328,330.0,0.0066,5.98498754714768
best thing,153.0,194.0,0.4409221902017291,0.5590778097982709,347.0,0.00694,5.939265297809586
bet,163.0,242.0,0.4024691358024691,0.5975308641975309,405.0,0.0081,5.721724002044046
betray,186.0,130.0,0.5886075949367089,0.4113924050632911,316.0,0.00632,5.970473504263427
better film,170.0,266.0,0.38990825688073394,0.6100917431192661,436.0,0.00872,5.723973721778061
better movi,138.0,294.0,0.3194444444444444,0.6805555555555556,432.0,0.00864,5.72622851416515
bi,116.0,148.0,0.4393939393939394,0.5606060606060606,264.0,0.00528,6.210326489025326
big budget,139.0,111.0,0.556,0.44399999999999995,250.0,0.005,6.255277876887592
big fan,161.0,220.0,0.4225721784776903,0.5774278215223096,381.0,0.00762,5.840912519309164
big screen,258.0,164.0,0.6113744075829384,0.3886255924170616,422.0,0.00844,5.721724002044046
bigger,231.0,244.0,0.4863157894736842,0.5136842105263157,475.0,0.0095,5.5912872806191025
biggest,354.0,537.0,0.39730639730639733,0.6026936026936027,891.0,0.01782,4.965443781955264
bill,122.0,171.0,0.41638225255972694,0.5836177474402731,293.0,0.00586,6.092950536623088
billi,282.0,161.0,0.636568848758465,0.363431151241535,443.0,0.00886,5.475917850083955
bird,154.0,130.0,0.5422535211267606,0.4577464788732394,284.0,0.00568,5.964726362007859
birth,170.0,115.0,0.5964912280701754,0.4035087719298246,285.0,0.0057,6.023740533444914
bite,123.0,174.0,0.41414141414141414,0.5858585858585859,297.0,0.00594,6.0298381133130325
bitter,201.0,116.0,0.6340694006309149,0.3659305993690851,317.0,0.00634,6.02070562974976
bizarr,378.0,455.0,0.453781512605042,0.546218487394958,833.0,0.01666,4.993253060653692
black,1244.0,1190.0,0.5110928512736237,0.4889071487263763,2434.0,0.04868,3.7675017846716394
black white,359.0,188.0,0.6563071297989032,0.34369287020109685,547.0,0.01094,5.432918964847641
blame,219.0,462.0,0.32158590308370044,0.6784140969162995,681.0,0.01362,5.218568165481409
bland,92.0,403.0,0.18585858585858586,0.8141414141414142,495.0,0.0099,5.535664123139484
blast,137.0,100.0,0.5780590717299579,0.42194092827004215,237.0,0.00474,6.294345345078502
blend,255.0,99.0,0.7203389830508474,0.2796610169491526,354.0,0.00708,5.895542486795754
blind,218.0,225.0,0.49209932279909707,0.5079006772009029,443.0,0.00886,5.569823041950802
block,146.0,147.0,0.49829351535836175,0.5017064846416383,293.0,0.00586,6.080005372031051
